control_id,stage_number,stage_name,family_code,family_name,aspect_id,legacy_aspect_id,requirement,expected_evidence,primary_owner_role,dependency,min_tier,domain,continuous,criticality,irreversibility,inherits_forward,title,objective,responsible_seat,supporting_seats,trigger_logic,dependencies,downstream_exposure,applicable_delivery_models,evidence_class,verification_method,seat_type,gating_party
SCH-COD-001,3,Schematic,SCH-COD,Code & Life Safety Strategy,A06,A02,"Building code path, occupancy classification, construction type and egress strategy are established and reviewed by the code consultant.",Code analysis narrative; consultant review,ARCHITECT,,CORE,SCHEMATIC,false,CRITICAL,Y,true,Code and life-safety strategy set,"Building code path, occupancy classification, construction type and egress strategy are established and reviewed by the code consultant.",ARCHITECT,,,,,,DESIGN_DELIVERABLE,SOURCE_VERIFIED,CONSULTANT,
SCH-COD-002,3,Schematic,SCH-COD,Code & Life Safety Strategy,A06,A02,"The accessibility strategy, including any required unit counts and public-accommodation obligations, is established at schematic.",Accessibility analysis,ARCHITECT,,CORE,SCHEMATIC,false,HIGH,Y,true,Accessibility strategy set,"The accessibility strategy, including any required unit counts and public-accommodation obligations, is established at schematic.",ARCHITECT,,,,,,DESIGN_DELIVERABLE,SOURCE_VERIFIED,CONSULTANT,
SCH-CON-001,3,Schematic,SCH-CON,Consultant Coverage & Delegated Design,A13,A06,"Every discipline required to complete the design is engaged, with scopes that meet at the boundaries and no gap between them.",Consultant scope matrix; gap analysis,OWNERS_REPRESENTATIVE,,CORE,SCHEMATIC,false,CRITICAL,N,true,Consultant coverage complete,"Every discipline required to complete the design is engaged, with scopes that meet at the boundaries and no gap between them.",OWNERS_REPRESENTATIVE,,,,,,INTERNAL_ANALYSIS,SOURCE_VERIFIED,INTERNAL,
SCH-CON-002,3,Schematic,SCH-CON,Consultant Coverage & Delegated Design,A13,A06,"Delegated design scopes are identified now and assigned, so they are not discovered during buyout.",Delegated design register,ARCHITECT,,EXTENDED,SCHEMATIC,false,HIGH,Y,true,Design responsibility assigned,"Delegated design scopes are identified now and assigned, so they are not discovered during buyout.",ARCHITECT,,,,,,LOG_OR_REGISTER,SOURCE_VERIFIED,CONSULTANT,
SCH-OWN-001,3,Schematic,SCH-OWN,Owner Decisions & Long Lead,A11,A05,Owner decisions required to complete design development are calendared against their latest responsible dates.,Decision register with latest responsible dates,OWNERS_REPRESENTATIVE,,CORE,SCHEMATIC,false,CRITICAL,Y,true,Owner decision calendar,Owner decisions required to complete design development are calendared against their latest responsible dates.,OWNERS_REPRESENTATIVE,,,,,,LOG_OR_REGISTER,SOURCE_VERIFIED,INTERNAL,
SCH-OWN-002,3,Schematic,SCH-OWN,Owner Decisions & Long Lead,A21,A09,Items whose lead time exceeds the remaining design duration are identified at schematic and their order dates calendared.,Long-lead register with required order dates,CM_PRECONSTRUCTION,,CORE,SCHEMATIC,false,CRITICAL,Y,true,Long-lead identified at schematic,Items whose lead time exceeds the remaining design duration are identified at schematic and their order dates calendared.,CM_PRECONSTRUCTION,,,,,,LOG_OR_REGISTER,SOURCE_VERIFIED,CONSULTANT,
SCH-OWN-003,3,Schematic,SCH-OWN,Owner Decisions & Long Lead,A24,A10,The development schedule is rebuilt from the schematic scope and reconciled to the financing milestones.,Updated schedule; milestone reconciliation,OWNERS_REPRESENTATIVE,,CORE,SCHEMATIC,false,CRITICAL,Y,true,Schedule rebuilt at schematic,The development schedule is rebuilt from the schematic scope and reconciled to the financing milestones.,OWNERS_REPRESENTATIVE,,,,,,SCHEDULE_ARTIFACT,RECOMPUTED,INTERNAL,
TKO-STR-001,7,Takeout,TKO-STR,Takeout Strategy & Maturity,A18,A11,"The permanent financing or sale strategy is documented with its trigger conditions, target date and fallback.",Takeout strategy memorandum approved by the sponsor,OWNER_PRINCIPAL,,CORE,TAKEOUT,false,CRITICAL,Y,true,Takeout strategy documented,"The permanent financing or sale strategy is documented with its trigger conditions, target date and fallback.",OWNER_PRINCIPAL,,,,,,INTERNAL_ANALYSIS,SOURCE_VERIFIED,INTERNAL,
TKO-STR-002,7,Takeout,TKO-STR,Takeout Strategy & Maturity,A18,A11,"Construction loan maturity, every extension option and each condition attaching to those options is calendared with owner-level alerts.",Loan agreement extract; deadline register,OWNER_PRINCIPAL,,CORE,TAKEOUT,false,CRITICAL,Y,true,Construction loan maturity calendared,"Construction loan maturity, every extension option and each condition attaching to those options is calendared with owner-level alerts.",OWNER_PRINCIPAL,CONSTRUCTION_LENDER,,,,,EXECUTED_INSTRUMENT,SOURCE_VERIFIED,INTERNAL,CONSTRUCTION_LENDER
TKO-STR-003,7,Takeout,TKO-STR,Takeout Strategy & Maturity,A18,A11,"Every numeric extension condition — occupancy, closings, debt service coverage, completion — is tested against the current forecast, not against the plan.",Condition test worksheet against current forecast,OWNER_PRINCIPAL,,CORE,TAKEOUT,false,CRITICAL,Y,true,Extension conditions tested against forecast,"Every numeric extension condition — occupancy, closings, debt service coverage, completion — is tested against the current forecast, not against the plan.",OWNER_PRINCIPAL,,,,,,INTERNAL_ANALYSIS,RECOMPUTED,INTERNAL,
TKO-STR-004,7,Takeout,TKO-STR,Takeout Strategy & Maturity,A18,A11,Indicative terms have been obtained from more than one source and tested against the model.,Term sheets or indications; comparison analysis,OWNER_PRINCIPAL,,CORE,TAKEOUT,false,CRITICAL,N,true,Takeout market tested,Indicative terms have been obtained from more than one source and tested against the model.,OWNER_PRINCIPAL,LENDER,,,,,FINANCIAL_STATEMENT,COUNTERPARTY_CONFIRMED,INTERNAL,LENDER
TKO-STR-005,7,Takeout,TKO-STR,Takeout Strategy & Maturity,A18,A11,"The full lead time from application to funding is established from the lender, and back-solved against maturity.",Lender process schedule; back-solved milestone dates,OWNER_PRINCIPAL,,CORE,TAKEOUT,false,CRITICAL,Y,true,Lead time to close established,"The full lead time from application to funding is established from the lender, and back-solved against maturity.",OWNER_PRINCIPAL,LENDER,,,,,CORRESPONDENCE_NOTICE,COUNTERPARTY_CONFIRMED,INTERNAL,LENDER
TKO-DIL-001,7,Takeout,TKO-DIL,Lender Diligence Package,A18,A11,The lender diligence checklist has been received and every item assigned to a named seat with a date.,Diligence checklist with assignments,OWNERS_REPRESENTATIVE,,CORE,TAKEOUT,false,CRITICAL,N,true,Diligence checklist received and owned,The lender diligence checklist has been received and every item assigned to a named seat with a date.,OWNERS_REPRESENTATIVE,LENDER,,,,,LOG_OR_REGISTER,SOURCE_VERIFIED,INTERNAL,LENDER
TKO-DIL-002,7,Takeout,TKO-DIL,Lender Diligence Package,A18,A11,"Operating statements, rent roll, TI and leasing commission history and capital expenditure records are assembled to the lender's required period.",Operating package with supporting detail,PROPERTY_MANAGER,,CORE,TAKEOUT,false,HIGH,N,true,Historical operating data assembled,"Operating statements, rent roll, TI and leasing commission history and capital expenditure records are assembled to the lender's required period.",PROPERTY_MANAGER,,,,,,FINANCIAL_STATEMENT,SOURCE_VERIFIED,CONSULTANT,
TKO-DIL-003,7,Takeout,TKO-DIL,Lender Diligence Package,A18,A11,"Final construction cost is reconciled to the budget, to draws funded and to lien waivers, with every variance explained.",Final cost report; draw reconciliation,OWNERS_REPRESENTATIVE,,CORE,TAKEOUT,false,CRITICAL,Y,true,Construction cost record reconciled,"Final construction cost is reconciled to the budget, to draws funded and to lien waivers, with every variance explained.",OWNERS_REPRESENTATIVE,,,,,,FINANCIAL_STATEMENT,RECOMPUTED,INTERNAL,
TKO-DIL-004,7,Takeout,TKO-DIL,Lender Diligence Package,A15,A13,"Certificates of occupancy, agency sign-offs, commissioning reports and the punch closeout record are assembled for the lender.",Completion package index with each certificate,OWNERS_REPRESENTATIVE,,CORE,TAKEOUT,false,CRITICAL,Y,true,Completion evidence assembled,"Certificates of occupancy, agency sign-offs, commissioning reports and the punch closeout record are assembled for the lender.",OWNERS_REPRESENTATIVE,,,,,,AGENCY_ISSUANCE,AGENCY_CONFIRMED,INTERNAL,
TKO-DIL-005,7,Takeout,TKO-DIL,Lender Diligence Package,A29,A14,"Every open claim, lien, dispute and threatened action is identified and its disclosure position agreed with counsel.",Claims register; counsel disclosure memorandum,FINANCE_COUNSEL,,CORE,TAKEOUT,false,CRITICAL,Y,true,Open claims and litigation disclosed,"Every open claim, lien, dispute and threatened action is identified and its disclosure position agreed with counsel.",FINANCE_COUNSEL,,,,,,LOG_OR_REGISTER,SOURCE_VERIFIED,CONSULTANT,
TKO-VAL-001,7,Takeout,TKO-VAL,Appraisal & Valuation,A18,A11,"The appraisal scope, comparable set and stabilised assumptions are reviewed before the report is issued, not after.",Appraisal engagement; assumption review memorandum,OWNER_PRINCIPAL,,CORE,TAKEOUT,false,CRITICAL,Y,true,Appraisal scope and assumptions reviewed,"The appraisal scope, comparable set and stabilised assumptions are reviewed before the report is issued, not after.",OWNER_PRINCIPAL,APPRAISER,,,,,THIRD_PARTY_REPORT,SOURCE_VERIFIED,INTERNAL,APPRAISER
TKO-VAL-002,7,Takeout,TKO-VAL,Appraisal & Valuation,A18,A11,"Appraised value supports the loan-to-value and debt-yield tests at the required proceeds, with headroom stated.",Valuation test against sizing constraints,OWNER_PRINCIPAL,,CORE,TAKEOUT,false,CRITICAL,Y,true,Valuation supports proceeds,"Appraised value supports the loan-to-value and debt-yield tests at the required proceeds, with headroom stated.",OWNER_PRINCIPAL,LENDER,,,,,FINANCIAL_STATEMENT,RECOMPUTED,INTERNAL,LENDER
TKO-VAL-003,7,Takeout,TKO-VAL,Appraisal & Valuation,A30,A15,"Occupancy, rent roll and absorption evidence supporting the stabilised assumption is current and independently verifiable.",Certified rent roll; executed leases or closings,PROPERTY_MANAGER,,CORE,TAKEOUT,false,CRITICAL,Y,true,Stabilisation evidence current,"Occupancy, rent roll and absorption evidence supporting the stabilised assumption is current and independently verifiable.",PROPERTY_MANAGER,,,,,,EXECUTED_INSTRUMENT,SOURCE_VERIFIED,CONSULTANT,
TKO-TTL-001,7,Takeout,TKO-TTL,"Title, Lien & Survey at Takeout",A03,A01,Title has been updated to date-down and every lender-required endorsement is confirmed obtainable.,Updated commitment; endorsement confirmation,TRANSACTION_COUNSEL,,CORE,TAKEOUT,false,CRITICAL,Y,true,Title updated and endorsements obtained,Title has been updated to date-down and every lender-required endorsement is confirmed obtainable.,TRANSACTION_COUNSEL,TITLE_COMPANY,,,,,THIRD_PARTY_REPORT,COUNTERPARTY_CONFIRMED,CONSULTANT,TITLE_COMPANY
TKO-TTL-002,7,Takeout,TKO-TTL,"Title, Lien & Survey at Takeout",A03,A01,"Mechanics lien exposure is cleared by final waivers, releases or bonded discharge, and the lien period has run.",Final lien waivers; release record; lien search,TRANSACTION_COUNSEL,,CORE,TAKEOUT,false,CRITICAL,Y,true,Mechanics lien exposure cleared,"Mechanics lien exposure is cleared by final waivers, releases or bonded discharge, and the lien period has run.",TRANSACTION_COUNSEL,,,,,,EXECUTED_INSTRUMENT,SOURCE_VERIFIED,CONSULTANT,
TKO-TTL-003,7,Takeout,TKO-TTL,"Title, Lien & Survey at Takeout",A03,A01,An as-built survey reflecting the completed improvements and all recorded easements has been delivered and accepted.,As-built ALTA survey,SURVEYOR,,CORE,TAKEOUT,false,HIGH,Y,true,As-built survey delivered,An as-built survey reflecting the completed improvements and all recorded easements has been delivered and accepted.,SURVEYOR,,,,,,DESIGN_DELIVERABLE,SOURCE_VERIFIED,CONSULTANT,
TKO-TTL-004,7,Takeout,TKO-TTL,"Title, Lien & Survey at Takeout",A14,A07,Tenant estoppels and subordination agreements required by the lender are obtained within their validity window.,Executed estoppels and SNDAs,TRANSACTION_COUNSEL,,CORE,TAKEOUT,false,HIGH,Y,true,Estoppels and SNDAs obtained,Tenant estoppels and subordination agreements required by the lender are obtained within their validity window.,TRANSACTION_COUNSEL,,,,,,EXECUTED_INSTRUMENT,SOURCE_VERIFIED,CONSULTANT,
TKO-CVT-001,7,Takeout,TKO-CVT,Covenant & Reserve Compliance,A18,A11,"Every covenant in the takeout commitment — coverage, occupancy, reserves, reporting — is tested and demonstrated before closing.",Covenant compliance certificate with calculations,OWNER_PRINCIPAL,,CORE,TAKEOUT,false,CRITICAL,Y,true,Covenant compliance demonstrated,"Every covenant in the takeout commitment — coverage, occupancy, reserves, reporting — is tested and demonstrated before closing.",OWNER_PRINCIPAL,,,,,,FINANCIAL_STATEMENT,RECOMPUTED,INTERNAL,
TKO-CVT-002,7,Takeout,TKO-CVT,Covenant & Reserve Compliance,A18,A11,"Required reserves — TI, leasing commission, capital, debt service, replacement — are quantified and the funding source identified.",Reserve schedule; source of funds,OWNER_PRINCIPAL,,CORE,TAKEOUT,false,HIGH,Y,true,Reserve requirements funded,"Required reserves — TI, leasing commission, capital, debt service, replacement — are quantified and the funding source identified.",OWNER_PRINCIPAL,,,,,,FINANCIAL_STATEMENT,RECOMPUTED,INTERNAL,
TKO-CVT-003,7,Takeout,TKO-CVT,Covenant & Reserve Compliance,A18,A11,Reporting obligations surviving into the permanent loan are extracted into a calendar with named owners.,Reporting obligation register,OWNERS_REPRESENTATIVE,,EXTENDED,TAKEOUT,false,MEDIUM,Y,true,Ongoing reporting obligations understood,Reporting obligations surviving into the permanent loan are extracted into a calendar with named owners.,OWNERS_REPRESENTATIVE,,,,,,LOG_OR_REGISTER,SOURCE_VERIFIED,INTERNAL,
TKO-GUA-001,7,Takeout,TKO-GUA,Guaranty Burn-Off & Recourse,A18,A11,"Completion, carry and repayment guaranty burn-off conditions are tracked against evidence, and release is pursued when earned.",Guaranty terms; burn-off condition evidence,OWNER_PRINCIPAL,,CORE,TAKEOUT,false,CRITICAL,Y,true,Guaranty burn-off conditions tracked,"Completion, carry and repayment guaranty burn-off conditions are tracked against evidence, and release is pursued when earned.",OWNER_PRINCIPAL,,,,,,EXECUTED_INSTRUMENT,SOURCE_VERIFIED,INTERNAL,
TKO-GUA-002,7,Takeout,TKO-GUA,Guaranty Burn-Off & Recourse,A18,A11,The recourse position under the permanent loan is compared to the construction loan and the change is accepted in writing.,Recourse comparison; sponsor acknowledgement,OWNER_PRINCIPAL,,CORE,TAKEOUT,false,CRITICAL,Y,true,Recourse position at takeout understood,The recourse position under the permanent loan is compared to the construction loan and the change is accepted in writing.,OWNER_PRINCIPAL,,,,,,ATTESTATION,SOURCE_VERIFIED,INTERNAL,
TKO-RAT-001,7,Takeout,TKO-RAT,Rate Exposure & Lock,A18,A11,"Interest rate exposure between application and funding is identified and a lock, cap or hedge decision is made and dated.",Rate exposure analysis; lock or hedge confirmation,OWNER_PRINCIPAL,,CORE,TAKEOUT,false,CRITICAL,Y,true,Rate exposure managed,"Interest rate exposure between application and funding is identified and a lock, cap or hedge decision is made and dated.",OWNER_PRINCIPAL,LENDER,,,,,FINANCIAL_STATEMENT,COUNTERPARTY_CONFIRMED,INTERNAL,LENDER
TKO-RAT-002,7,Takeout,TKO-RAT,Rate Exposure & Lock,A18,A11,"Rate lock expiry is aligned to the realistic closing date, with extension cost quantified.",Lock confirmation; extension cost schedule,OWNER_PRINCIPAL,,CORE,TAKEOUT,false,HIGH,Y,true,Lock expiry aligned to closing,"Rate lock expiry is aligned to the realistic closing date, with extension cost quantified.",OWNER_PRINCIPAL,LENDER,,,,,EXECUTED_INSTRUMENT,COUNTERPARTY_CONFIRMED,INTERNAL,LENDER
TKO-PAY-001,7,Takeout,TKO-PAY,"Payoff, Closing & Discharge",A20,A12,"The construction loan payoff, including accrued interest, exit fee and any prepayment charge, is calculated and verified with the lender.",Written payoff statement,OWNER_PRINCIPAL,,CORE,TAKEOUT,false,CRITICAL,Y,true,Payoff calculated and verified,"The construction loan payoff, including accrued interest, exit fee and any prepayment charge, is calculated and verified with the lender.",OWNER_PRINCIPAL,CONSTRUCTION_LENDER,,,,,FINANCIAL_STATEMENT,COUNTERPARTY_CONFIRMED,INTERNAL,CONSTRUCTION_LENDER
TKO-PAY-002,7,Takeout,TKO-PAY,"Payoff, Closing & Discharge",A20,A12,"Closing sources and uses balance, including all costs, reserves, prorations and any equity return.",Closing statement; sources and uses,OWNER_PRINCIPAL,,CORE,TAKEOUT,false,CRITICAL,Y,true,Sources and uses at closing balance,"Closing sources and uses balance, including all costs, reserves, prorations and any equity return.",OWNER_PRINCIPAL,,,,,,FINANCIAL_STATEMENT,RECOMPUTED,INTERNAL,
TKO-PAY-003,7,Takeout,TKO-PAY,"Payoff, Closing & Discharge",A20,A12,Any distribution at takeout is calculated under the operating agreement waterfall and agreed with the equity partner before funding.,Waterfall calculation; partner acknowledgement,OWNER_PRINCIPAL,,CORE,TAKEOUT,false,HIGH,Y,true,Equity distribution waterfall applied,Any distribution at takeout is calculated under the operating agreement waterfall and agreed with the equity partner before funding.,OWNER_PRINCIPAL,EQUITY_PARTNER,,,,,FINANCIAL_STATEMENT,COUNTERPARTY_CONFIRMED,INTERNAL,EQUITY_PARTNER
TKO-PAY-004,7,Takeout,TKO-PAY,"Payoff, Closing & Discharge",A20,A12,"Discharge of the construction mortgage and all related instruments is recorded, and the record confirmed.",Recorded discharge; updated title search,TRANSACTION_COUNSEL,,CORE,TAKEOUT,false,CRITICAL,Y,true,Construction loan discharged of record,"Discharge of the construction mortgage and all related instruments is recorded, and the record confirmed.",TRANSACTION_COUNSEL,TITLE_COMPANY,,,,,EXECUTED_INSTRUMENT,SOURCE_VERIFIED,CONSULTANT,TITLE_COMPANY
